current_kf,historical_kf,current_submap,historical_submap,overlap,loop_rmse,frontend_world_x,frontend_world_y,frontend_world_z,loop_world_x,loop_world_y,loop_world_z,world_error_dx,world_error_dy,world_error_dz,world_error_norm,frontend_rel_tx,frontend_rel_ty,frontend_rel_tz,frontend_rel_roll_deg,frontend_rel_pitch_deg,frontend_rel_yaw_deg,loop_rel_tx,loop_rel_ty,loop_rel_tz,loop_rel_roll_deg,loop_rel_pitch_deg,loop_rel_yaw_deg,relative_error_tx,relative_error_ty,relative_error_tz,relative_error_roll_deg,relative_error_pitch_deg,relative_error_yaw_deg,relative_translation_norm,relative_rotation_deg,graph_correction_translation,graph_correction_rotation_deg,graph_gate_pass
200,35,19,3,0.503378378,0.541364729,60.504882899,-52.421738312,0.860262006,16.797351215,0.655320022,-0.012940239,43.707531684,-53.077058333,0.873202245,68.762525618,32.714643780,-59.768952539,1.619600172,1.131008635,-0.532835412,-124.425558443,-2.440736035,-0.697909790,-0.111326728,-0.611405828,-0.587420435,11.383128059,22.821683591,-64.860166879,0.804972526,0.283131183,-0.527756416,-135.797627840,68.762769507,135.796933327,68.762525618,135.796933327,0
201,47,19,4,0.513133208,0.536680575,60.342366984,-52.566175546,0.876944756,25.549244342,0.890877207,-0.369262386,34.793122642,-53.457052753,1.246207142,63.794756089,26.093726626,-59.600555755,0.958450209,0.763046528,-0.120232266,-131.669343156,-0.405570695,-1.585239216,-0.376163153,-4.480896508,-6.087991982,17.054739584,8.413599474,-63.077565230,-4.496953445,-6.234596404,-2.974203431,-148.296508404,63.794909528,148.517223004,63.794756089,148.517223004,0
202,39,19,3,0.536458333,0.555588060,60.200807098,-52.683557497,0.888605387,17.414738188,0.621810171,-0.214809769,42.786068909,-53.305367668,1.103415156,68.361739592,25.745195082,-61.894624450,1.939053913,1.454170580,-0.779780344,-141.930830394,-4.296751144,-0.530254916,-0.346347272,1.022830713,-1.652103945,8.826331406,20.327951446,-65.206787155,2.864487731,1.539858452,-2.720950383,-150.774525207,68.361948415,150.749047841,68.361739592,150.749047841,0
203,52,19,4,0.495412844,0.563098408,59.841318070,-53.122500558,0.898550573,26.554508425,1.499077461,-0.121065836,33.286809645,-54.621578018,1.019616408,63.973182657,29.314284842,-56.814599171,1.459959391,1.573464711,0.070644818,-130.070984699,-1.999889287,-1.051795892,-0.121295908,1.508971071,-7.403705695,19.146672749,11.402070756,-62.924065153,1.770547360,-0.927275146,-7.060767187,-149.162532673,63.973275912,149.280589154,63.973182657,149.280589154,0
204,54,19,5,0.400346620,0.608983226,59.648493493,-53.243308617,0.913127275,30.733628527,1.625690755,0.278422446,28.914864966,-54.868999372,0.634704829,62.024828563,22.317074281,-59.461469713,1.794989561,1.952491799,-0.356634789,-141.796397823,0.946982747,-1.251251672,0.391756980,8.574728053,1.581089685,0.952135232,20.353394148,-57.609853016,10.674449481,9.744347057,-4.283148877,-142.946122147,62.024992459,142.747836219,62.024828563,142.747836219,0
207,36,20,3,0.465391621,0.552025415,58.582556201,-53.876906503,0.952998844,17.074320795,-2.035102001,0.144063257,41.508235406,-51.841804502,0.808935588,66.416569298,32.132484186,-59.772486381,1.878403911,3.195200687,0.867700966,-152.535687256,-3.046317396,-3.467118763,0.056818351,1.914387318,0.747536315,5.019900989,30.090855345,-59.060758863,4.189713449,5.250153490,0.826920335,-157.512744023,66.416763785,157.575037900,66.416569298,157.575037900,0
208,161,20,15,0.613295880,0.552229870,58.275626257,-53.996944364,0.947113014,56.063998076,-33.603749498,0.863438743,2.211628182,-20.393194866,0.083674271,20.512939756,20.976536777,-1.622212490,0.375328219,2.651189414,0.820804127,-67.606567913,0.467286226,-2.011224592,0.372353011,-0.460305070,7.831864567,24.941649992,18.585279588,-8.316189174,2.492681958,10.457551563,1.620202746,-92.413201249,20.513046655,93.027454253,20.512939756,93.027454253,0
209,36,20,3,0.524770642,0.506371564,57.829779514,-54.233951883,0.956403549,18.967536130,-0.240361996,-0.015266226,38.862243384,-53.993589887,0.971669774,66.532141494,31.343424407,-60.039709530,1.866479592,2.966283230,0.972575342,-157.210261003,-0.954503269,-1.905080060,-0.066025534,0.779443716,2.973944267,20.705479371,9.544240880,-65.759960563,3.325762110,3.855344267,3.915768537,-177.857515484,66.532139909,177.991698676,66.532141494,177.991698676,0
210,36,20,3,0.559679037,0.507365203,57.507732623,-54.337377924,0.958201823,18.164824924,-0.326989004,0.187126270,39.342907699,-54.010388921,0.771075554,66.825003218,31.011577427,-60.105040940,1.861604254,3.333401720,1.112271399,-162.386230593,-1.765925564,-1.896960075,0.119285463,0.779487009,3.568926216,15.224113870,16.201935895,-64.729062149,3.637124679,4.263963741,4.645014756,-177.539295182,66.825016943,177.715772767,66.825003218,177.715772767,0
212,159,20,15,0.422398589,0.600414537,56.507706011,-54.712603716,1.001619501,55.908593937,-30.777541665,1.114025503,0.599112074,-23.935062051,-0.112406002,23.942822845,22.005894114,-5.951489106,0.248264112,2.211884383,-1.434143907,-79.188013964,-1.571141068,-1.804878950,0.681625375,-1.470334557,9.265068208,13.301530515,21.773421898,-9.536641781,2.869032715,11.400593689,0.453978343,-92.687474186,23.942865040,93.272636349,23.942822845,93.272636349,0
