from_kf,to_kf,measurement_x,measurement_y,measurement_z,measurement_roll_deg,measurement_pitch_deg,measurement_yaw_deg,before_x,before_y,before_z,before_yaw_deg,after_x,after_y,after_z,after_yaw_deg,before_error_translation_m,before_error_rotation_deg,after_error_translation_m,after_error_rotation_deg
3,513,0.223548823,0.006099729,-0.001435243,0.566647491,0.997208643,0.252276278,0.714958078,-0.021434915,-2.145246665,-4.748853451,0.246548710,0.001771196,-0.037291760,-0.276790917,2.199585808,5.413465036,0.042818499,2.041401756
5,514,-0.225633288,0.184329349,-0.045783529,0.374801867,0.252039777,-0.592856521,0.202139272,-0.117917576,-2.139294536,-3.811857842,-0.239973724,0.102211846,-0.057234522,-0.443050035,2.158043192,3.810981751,0.084143203,1.938913771
