accepted_step,timestamp,keyframe_count,imu_valid,imu_sample_count,accel_norm_mps2,accel_norm_error_mps2,accel_std_norm_mps2,ground_valid,ground_quality,localmap_ground_valid,localmap_ground_corr,current_ground_L_x,current_ground_L_y,current_ground_L_z,current_ground_W_x,current_ground_W_y,current_ground_W_z,localmap_ground_L_x,localmap_ground_L_y,localmap_ground_L_z,localmap_ground_W_x,localmap_ground_W_y,localmap_ground_W_z,imu_up_L_x,imu_up_L_y,imu_up_L_z,imu_up_W_x,imu_up_W_y,imu_up_W_z,slam_up_L_x,slam_up_L_y,slam_up_L_z,gravity_ref_valid,gravity_ref_W_x,gravity_ref_W_y,gravity_ref_W_z,ground_to_map_deg,slam_to_imu_gravity_deg,frontend_gravity_drift_deg,ground_to_imu_gravity_deg,localmap_to_imu_gravity_deg,ground_to_slam_up_deg,localmap_to_slam_up_deg,current_ground_to_gravity_ref_deg,localmap_ground_to_gravity_ref_deg,world_roll_deg,world_pitch_deg,world_yaw_deg,world_x_m,world_y_m,world_z_m
10,1782712601.438971043,1,1,21,9.806925708,0.000275708,0.040028298,1,0.631031639,1,79,0.005214627,0.022617667,0.999730588,0.003488505,0.021462647,0.999763565,0.002233049,0.010739137,0.999939840,0.000498968,0.009585800,0.999953931,-0.006194032,0.007594084,0.999951981,-0.007930132,0.006446144,0.999947779,0.001740314,0.001153079,0.999997821,1,-0.006585694,0.007816696,0.999947763,0.701808842,0.585548869,0.110000878,1.080940918,0.515368300,1.245955214,0.549977895,0.971906463,0.418386453,0.066066682,-0.099712706,-0.036771941,0.000530451,0.009741746,-0.014268282
11,1782712601.538881302,1,1,21,9.808844427,0.002194427,0.036900364,1,0.817198066,1,106,-0.002295743,0.025051224,0.999683533,-0.004015015,0.028983176,0.999571836,-0.013777960,0.015963054,0.999777650,-0.015522483,0.019927171,0.999680929,-0.006490996,0.007703924,0.999949257,-0.008258718,0.011648698,0.999898046,0.001800010,-0.003922189,0.999990688,1,-0.006585694,0.007816696,0.999947763,0.839043464,0.818171787,0.239587792,1.022706442,0.631148226,1.676711131,1.447413604,1.221874408,0.862497095,-0.224725812,-0.103133014,-0.158128710,-0.002690131,-0.000716561,-0.000929093
12,1782712601.638843060,1,1,21,9.805398426,0.001251574,0.041064306,1,0.707260721,1,88,0.007775154,0.022816622,0.999709432,0.006540718,0.020687302,0.999764600,-0.001429938,0.006423295,0.999978348,-0.002661089,0.004291436,0.999987251,-0.006377921,0.007650029,0.999950398,-0.007609304,0.005517152,0.999955829,0.001230231,0.002131309,0.999996972,1,-0.006585694,0.007816696,0.999947763,1.077339929,0.538528745,0.144218765,1.188674933,0.292086288,1.243225130,0.289318386,1.053367350,0.302267687,0.122115216,-0.070487075,0.012462863,-0.006423543,0.013780834,-0.003403643
13,1782712601.738984346,1,1,21,9.807601993,0.000951993,0.039554267,1,0.771106337,1,104,-0.004782406,0.021743743,0.999752138,-0.004838246,0.024717686,0.999682763,-0.011795821,0.012066523,0.999857619,-0.011876318,0.015058728,0.999816077,-0.006428698,0.007515323,0.999951095,-0.006520824,0.010494160,0.999923673,0.000118861,-0.002962360,0.999995605,1,-0.006585694,0.007816696,0.999947763,0.684797010,0.707913215,0.153458640,0.820753409,0.403227063,1.443247377,1.098910538,0.973647665,0.513926248,-0.169730997,-0.006810238,-0.146033828,0.006388677,0.003605799,-0.000304530
14,1782712601.839126348,1,1,21,9.808595125,0.001945125,0.039952998,1,0.792793956,1,85,-0.003342628,0.021432377,0.999764712,-0.002383538,0.020291199,0.999791271,-0.008385064,0.007518495,0.999936579,-0.007438100,0.006381585,0.999951974,-0.006593924,0.007581216,0.999949521,-0.005646895,0.006442710,0.999963301,-0.000941384,0.001143543,0.999998903,1,-0.006585694,0.007816696,0.999947763,0.848008112,0.490867128,0.095349261,0.815259073,0.102690316,1.170675058,0.561536755,0.754257817,0.095636939,0.065520232,0.053937321,-0.050557595,-0.005421467,0.011354185,0.004514511
15,1782712601.939354181,1,1,21,9.807615734,0.000965734,0.039073760,1,0.711416070,1,102,-0.007115290,0.019402955,0.999786426,-0.006628118,0.020564813,0.999766551,-0.007824477,0.006994922,0.999944923,-0.007367946,0.008158764,0.999939572,-0.006412893,0.007566788,0.999950808,-0.005954948,0.008727140,0.999944186,-0.000436382,-0.001145643,0.999999249,1,-0.006585694,0.007816696,0.999947763,0.712150674,0.605355134,0.063460332,0.679424755,0.087263452,1.238061128,0.629880829,0.730496088,0.048919837,-0.065640537,0.025002864,-0.141847636,0.008494326,0.007612015,0.001343062
16,1782712602.039108992,1,1,21,9.806905234,0.000255234,0.042186222,1,0.809279148,1,95,-0.010052130,0.020227935,0.999744860,-0.006861021,0.019636297,0.999783648,-0.003959704,0.012515927,0.999913832,-0.000778739,0.011915799,0.999928701,-0.006180785,0.007663457,0.999951533,-0.003006384,0.007066372,0.999970514,-0.003164773,0.000601259,0.999994811,1,-0.006585694,0.007816696,0.999947763,0.563197565,0.439996980,0.209541048,0.753387512,0.305774633,1.191862631,0.684197681,0.677466142,0.407259509,0.034449784,0.181328418,-0.078964806,-0.009737908,0.007158248,0.013107684
17,1782712602.139911175,1,1,21,9.809222633,0.002572633,0.039690226,1,0.808757335,1,100,-0.005828907,0.020431936,0.999774254,-0.005546214,0.021778836,0.999747429,-0.015637484,0.015624525,0.999755642,-0.015363610,0.016989434,0.999737625,-0.006396848,0.007532616,0.999951169,-0.006137808,0.008880829,0.999941727,-0.000242747,-0.001336992,0.999999077,1,-0.006585694,0.007816696,0.999947763,0.625865371,0.618545932,0.066151594,0.739867194,0.703848873,1.287770579,1.312527615,0.802274298,0.727537428,-0.076604015,0.013908379,-0.105276422,-0.001397442,0.001598463,0.003793948
18,1782712602.238945961,1,1,21,9.806271482,0.000378518,0.038569827,1,0.807673769,1,95,-0.009054165,0.020144891,0.999756073,-0.006784901,0.020489549,0.999767045,-0.009573223,0.012348891,0.999877922,-0.007315568,0.012694391,0.999892662,-0.006436280,0.007464080,0.999951430,-0.004185918,0.007804826,0.999960781,-0.002238563,-0.000334369,0.999997439,1,-0.006585694,0.007816696,0.999947763,0.447722408,0.507445505,0.137500768,0.741967702,0.332647687,1.236751482,0.839496478,0.726269361,0.282600674,-0.019157970,0.128260317,-0.087379815,-0.000378108,0.007046137,0.012702898
19,1782712602.339004040,1,1,21,9.806903078,0.000253078,0.039788734,1,0.805832863,1,91,-0.002417210,0.019090195,0.999814844,-0.000809392,0.018550186,0.999827603,-0.012315177,0.007194410,0.999898283,-0.010723809,0.006668175,0.999920264,-0.006275195,0.007535438,0.999951918,-0.004683280,0.007000749,0.999964528,-0.001582215,0.000541254,0.999998602,1,-0.006585694,0.007816696,0.999947763,0.886681014,0.482596733,0.118606828,0.698014702,0.346630783,1.063919726,0.723546388,0.698420572,0.246064429,0.031011589,0.090654304,-0.079926269,-0.004136194,0.008896185,0.003237703
