accepted_step,timestamp,dt_from_previous_s,previous_world_z,current_world_z,previous_roll_deg,previous_pitch_deg,previous_yaw_deg,local_dx,local_dy,local_dz,pitch_step_m,roll_step_m,local_z_step_m,world_z_step_m,reconstructed_step_m,step_closure_error_m,cumulative_pitch_m,cumulative_roll_m,cumulative_local_z_m,cumulative_world_z_m,cumulative_sum_m,cumulative_closure_error_m,max_abs_step_closure_error_m
19,1782712602.339004040,0.100058079,0.012702898,0.003237703,-0.019157970,0.128260317,-0.087379815,-0.003739704,0.001847481,-0.009472974,0.000008372,-0.000000618,-0.009472949,-0.009465195,-0.009465195,-0.000000000,-0.000031764,-0.000443641,0.003713108,0.003237703,0.003237703,0.000000000,0.000000000
20,1782712602.439109564,0.100105524,0.003237703,0.002254287,0.031011589,0.090654304,-0.079926269,0.000650678,-0.013354007,-0.000975160,-0.000001030,-0.000007228,-0.000975158,-0.000983416,-0.000983416,-0.000000000,-0.000032794,-0.000450869,0.002737950,0.002254287,0.002254287,0.000000000,0.000000000
21,1782712602.538767099,0.099657536,0.002254287,0.006885093,-0.076428592,-0.024394273,-0.105397279,-0.006497992,0.016701182,0.004655855,-0.000002767,-0.000022278,0.004655851,0.004630806,0.004630806,0.000000000,-0.000035560,-0.000473147,0.007393801,0.006885093,0.006885093,0.000000000,0.000000000
22,1782712602.638790846,0.100023746,0.006885093,0.001749020,0.032051742,0.179752838,-0.087770664,-0.003246210,-0.020226328,-0.005134968,0.000010184,-0.000011315,-0.005134942,-0.005136073,-0.005136073,-0.000000000,-0.000025376,-0.000484462,0.002258859,0.001749020,0.001749020,0.000000000,0.000000000
23,1782712602.738789558,0.099998713,0.001749020,0.001715847,-0.083758221,-0.056901838,-0.029788603,0.004444745,0.017448692,-0.000012080,0.000004414,-0.000025507,-0.000012080,-0.000033173,-0.000033173,0.000000000,-0.000020962,-0.000509970,0.002246779,0.001715847,0.001715847,0.000000000,0.000000000
24,1782712602.838720560,0.099931002,0.001715847,-0.004924875,0.069336215,0.140788368,-0.011069178,0.015841428,-0.018893538,-0.006578958,-0.000038926,-0.000022864,-0.006578933,-0.006640723,-0.006640723,-0.000000000,-0.000059888,-0.000532833,-0.004332154,-0.004924875,-0.004924875,-0.000000000,0.000000000
25,1782712602.938957930,0.100237370,-0.004924875,-0.000123885,0.048086074,-0.128644100,0.160977824,-0.024589995,0.023601807,0.004836407,-0.000055211,0.000019808,0.004836393,0.004800990,0.004800990,0.000000000,-0.000115099,-0.000513025,0.000504239,-0.000123885,-0.000123885,0.000000000,0.000000000
26,1782712603.039201021,0.100243092,-0.000123885,-0.006154757,0.132860744,0.159659651,0.028154643,0.019318433,-0.008895429,-0.005956451,-0.000053832,-0.000020627,-0.005956412,-0.006030872,-0.006030872,-0.000000000,-0.000168931,-0.000533653,-0.005452173,-0.006154757,-0.006154757,-0.000000000,0.000000000
27,1782712603.139046669,0.099845648,-0.006154757,-0.000808416,0.013169044,-0.129936898,-0.024776028,-0.019595527,0.007570308,0.005389055,-0.000044439,0.000001740,0.005389041,0.005346341,0.005346341,0.000000000,-0.000213370,-0.000531913,-0.000063133,-0.000808416,-0.000808416,0.000000000,0.000000000
28,1782712603.238782644,0.099735975,-0.000808416,-0.009531609,0.202348408,0.263170445,0.084190576,0.017582688,-0.005420509,-0.008623435,-0.000080760,-0.000019143,-0.008623290,-0.008723193,-0.008723193,-0.000000000,-0.000294131,-0.000551056,-0.008686423,-0.009531609,-0.009531609,-0.000000000,0.000000000
29,1782712603.339103222,0.100320578,-0.009531609,0.004545725,-0.108129279,-0.213088477,-0.130616792,0.002492652,0.001226593,0.014070501,0.000009270,-0.000002315,0.014070378,0.014077334,0.014077334,0.000000000,-0.000284860,-0.000553370,0.005383956,0.004545725,0.004545725,0.000000000,0.000000000
30,1782712603.438954353,0.099851131,0.004545725,-0.007914487,0.122129138,0.225742452,0.020901872,-0.006286072,-0.002988313,-0.012478734,0.000024767,-0.000006370,-0.012478609,-0.012460212,-0.012460212,-0.000000000,-0.000260093,-0.000559740,-0.007094653,-0.007914487,-0.007914487,-0.000000000,0.000000000
31,1782712603.538742781,0.099788427,-0.007914487,0.010134028,-0.196178295,-0.239879872,-0.217420819,-0.009263358,0.006350764,0.018109307,-0.000038783,-0.000021745,0.018109043,0.018048515,0.018048515,0.000000000,-0.000298876,-0.000581485,0.011014389,0.010134028,0.010134028,0.000000000,0.000000000
32,1782712603.639127731,0.100384951,0.010134028,-0.005689148,0.118285410,0.327915003,0.022390935,0.018901390,-0.008769751,-0.015697186,-0.000108176,-0.000018105,-0.015696896,-0.015823176,-0.015823176,-0.000000000,-0.000407052,-0.000599589,-0.004682507,-0.005689148,-0.005689148,-0.000000000,0.000000000
33,1782712603.738974810,0.099847078,-0.005689148,0.010978654,-0.139219659,-0.186966022,-0.097830229,-0.014095900,0.003511250,0.016722469,-0.000045997,-0.000008532,0.016722330,0.016667801,0.016667801,0.000000000,-0.000453049,-0.000608121,0.012039824,0.010978654,0.010978654,0.000000000,0.000000000
34,1782712603.838785648,0.099810839,0.010978654,-0.004579155,0.087880159,0.256804243,0.005308327,0.008290155,-0.010208504,-0.015505168,-0.000037157,-0.000015658,-0.015504994,-0.015557809,-0.015557809,-0.000000000,-0.000490206,-0.000623779,-0.003465170,-0.004579155,-0.004579155,-0.000000000,0.000000000
35,1782712604.039044857,0.200259209,-0.004579155,0.002248939,-0.146019619,-0.152777497,-0.069597255,0.001117832,0.000215805,0.006825710,0.000002981,-0.000000550,0.006825663,0.006828094,0.006828094,0.000000000,-0.000487226,-0.000624329,0.003360493,0.002248939,0.002248939,0.000000000,0.000000000
36,1782712604.138948917,0.099904060,0.002248939,0.000899885,-0.094730673,0.027362121,-0.060738968,0.007263147,0.003945711,-0.001339064,-0.000003469,-0.000006524,-0.001339062,-0.001349054,-0.001349054,-0.000000000,-0.000490694,-0.000630852,0.002021431,0.000899885,0.000899885,0.000000000,0.000000000
37,1782712604.238780260,0.099831343,0.000899885,0.004812276,0.034432398,0.003066661,0.006133492,-0.007807080,0.007954238,0.003907194,0.000000418,0.000004780,0.003907193,0.003912391,0.003912391,0.000000000,-0.000490276,-0.000626072,0.005928624,0.004812276,0.004812276,0.000000000,0.000000000
38,1782712604.339046001,0.100265741,0.004812276,-0.004481759,-0.021493109,0.142373949,-0.096962273,0.004733379,-0.009790085,-0.009285974,-0.000011762,0.000003672,-0.009285945,-0.009294035,-0.009294035,-0.000000000,-0.000502038,-0.000622400,-0.003357321,-0.004481759,-0.004481759,-0.000000000,0.000000000
39,1782712604.438894987,0.099848986,-0.004481759,0.007455588,0.022116391,-0.165450994,0.024090282,-0.008229177,0.012467324,0.011956349,-0.000023763,0.000004812,0.011956298,0.011937347,0.011937347,0.000000000,-0.000525801,-0.000617587,0.008598977,0.007455588,0.007455588,0.000000000,0.000000000
