current_kf,historical_kf,current_submap,historical_submap,overlap,loop_rmse,frontend_world_x,frontend_world_y,frontend_world_z,loop_world_x,loop_world_y,loop_world_z,world_error_dx,world_error_dy,world_error_dz,world_error_norm,frontend_rel_tx,frontend_rel_ty,frontend_rel_tz,frontend_rel_roll_deg,frontend_rel_pitch_deg,frontend_rel_yaw_deg,loop_rel_tx,loop_rel_ty,loop_rel_tz,loop_rel_roll_deg,loop_rel_pitch_deg,loop_rel_yaw_deg,relative_error_tx,relative_error_ty,relative_error_tz,relative_error_roll_deg,relative_error_pitch_deg,relative_error_yaw_deg,relative_translation_norm,relative_rotation_deg,graph_correction_translation,graph_correction_rotation_deg,graph_gate_pass
163,38,15,3,0.699918897,0.565019808,58.228733440,-33.467083138,0.302236202,19.410702412,1.493853170,0.604697533,38.818031029,-34.960936308,-0.302461331,52.241727416,32.703786854,-40.198940656,1.458881276,0.648428724,-0.737026748,-89.894687259,-0.884777217,-0.195809929,0.589410742,4.691772895,1.101856693,-2.352632038,35.179202011,-38.334910739,4.697612951,1.548665172,-5.471642194,-87.545709905,52.241833840,87.619053819,52.241727416,87.619053819,0
164,39,15,3,0.685936152,0.572588762,58.334659112,-34.044807956,0.317773612,19.911985783,1.515648774,0.867968557,38.422673328,-35.560456730,-0.550194945,52.355998921,30.593582864,-41.996355716,1.176780605,0.461378846,-0.523635652,-88.914089836,-0.963169710,-0.220475447,0.864022434,6.845231082,1.281095703,-0.094590126,31.610850405,-41.304846189,5.985454614,1.601834223,-7.393697349,-88.821755190,52.356106129,88.973262674,52.355998921,88.973262674,0
165,42,16,3,0.655114117,0.600148243,58.475992941,-34.612097442,0.325018530,20.116621783,1.910469479,1.100790457,38.359371158,-36.522566920,-0.775771927,52.971134330,29.499089153,-42.129037471,0.716274675,1.146064557,0.715104487,-85.089297361,-2.567482281,0.032124007,1.051731763,9.910606146,3.053021346,2.977568022,29.808811448,-42.901095952,8.768545822,3.854300693,-9.293529235,-88.005465120,52.971281556,88.150207418,52.971134330,88.150207418,0
166,48,16,4,0.714391144,0.563611885,58.535456572,-35.175583379,0.335472398,21.410229311,1.737036873,0.673240865,37.125227262,-36.912620252,-0.337768467,52.353969483,26.886263076,-42.106090694,0.623955067,0.712828769,0.441481084,-89.057224019,-4.385958664,-0.118163216,0.638588604,3.034517231,2.701613283,-0.533573265,31.627572742,-41.558475470,3.682931187,3.334375092,-2.662072134,-88.502902508,52.354314273,88.507274563,52.353969483,88.507274563,0
167,44,16,4,0.728404669,0.562493690,58.649315886,-35.742618565,0.348022680,21.363322584,1.732894253,0.905135664,37.285993302,-37.475512818,-0.557112985,52.867473293,32.576511376,-40.278232256,0.797844950,1.265875034,0.409541356,-81.658439812,-2.157456974,-0.422068040,0.883571395,5.817144348,8.878660154,6.136848939,29.924747660,-42.652847211,8.957073049,9.909695181,-5.748238219,-87.747178309,52.867618212,87.845810816,52.867473293,87.845810816,0
168,44,16,4,0.729317269,0.548079066,58.760927168,-36.301511152,0.362257572,22.044954349,1.788045254,1.078340349,36.715972818,-38.089556407,-0.716082777,52.909259509,32.650543775,-40.843455539,0.805749309,1.002810764,0.622817727,-80.969984230,-1.479391334,-0.414961893,1.078096072,4.847447441,9.369456168,6.440306490,29.032268615,-43.463001980,8.216478032,10.137529206,-4.649172150,-87.334741165,52.909504565,87.492012354,52.909259509,87.492012354,0
169,48,16,4,0.708648195,0.542206055,58.830194532,-36.882821336,0.373882941,21.854148839,1.752716398,1.016539947,36.976045693,-38.635537734,-0.642657006,53.482200208,26.924923616,-43.838473044,0.643034755,0.938222080,0.902322680,-88.752428000,-3.953694246,-0.172302546,0.992680486,7.075061203,6.397012359,0.504223830,30.342313728,-43.226094674,8.438389647,7.231356384,-6.260412608,-89.155797832,53.482311871,89.165877593,53.482200208,89.165877593,0
170,44,16,4,0.690851735,0.522317473,58.883875608,-37.485558803,0.373838670,21.877334854,1.518491080,0.952162181,37.006540755,-39.004049884,-0.578323512,53.769270258,32.694758902,-42.033092866,0.800521331,1.603880764,1.233994802,-87.750811565,-1.660407164,-0.670828796,0.942294470,7.507556676,7.050749358,4.867561934,30.506832341,-43.275872556,9.364915358,8.971243917,-5.954708895,-92.459633215,53.769597401,92.478370725,53.769270258,92.478370725,0
171,44,16,4,0.680463576,0.544466919,58.952414727,-38.063418039,0.380854981,21.553583194,1.398669131,1.065335170,37.398831533,-39.462087170,-0.684480189,54.372763742,32.724808092,-42.614267809,0.799589697,1.430499037,1.022998066,-86.069910989,-1.994716510,-0.770600357,1.043603200,8.628308887,7.524125495,6.297959067,29.694221283,-44.334626228,10.445386403,9.284941185,-7.297673149,-92.231129261,54.372897269,92.225240444,54.372763742,92.225240444,0
172,48,16,4,0.727122836,0.525859938,59.045107998,-38.651074678,0.385793475,22.703423628,1.832332400,0.857284899,36.341684370,-40.483407079,-0.471491424,54.404472020,26.876354166,-45.619086690,0.632758894,0.880350405,0.779367436,-88.527698199,-3.098099069,-0.217222633,0.855175492,9.636423519,5.508451770,3.035373633,27.422592402,-45.858242316,10.242084631,6.638270915,-8.707356822,-91.498139431,54.404754020,91.503557543,54.404472020,91.503557543,0
173,48,16,4,0.795801527,0.516891858,59.158776508,-39.214885469,0.393877610,23.437518417,2.026582116,0.150595187,35.721258091,-41.241467585,0.243282423,54.561214379,26.905389717,-46.193561265,0.634854275,0.909832648,0.995847556,-85.837924275,-2.325191087,-0.125322006,0.169459817,4.707498789,0.533515425,2.461159765,27.219944645,-47.062647630,4.596766571,1.302574036,-3.725422443,-88.286515366,54.561419074,88.314326655,54.561214379,88.314326655,0
174,44,16,4,0.797114518,0.528371031,59.223422849,-39.789664887,0.403319146,23.235288080,2.064946592,0.578170633,35.988134768,-41.854611479,-0.174851487,55.199501077,32.880611684,-44.354843276,0.800299757,1.129997281,0.799780209,-85.996381251,-0.258411642,-0.210114287,0.618765541,7.123734651,3.517583463,4.093524101,29.835821327,-45.789728672,7.754278108,4.653008901,-6.319948669,-90.040906928,55.199676766,90.052916880,55.199501077,90.052916880,0
176,40,17,3,0.609708738,0.578459483,59.390860930,-40.917582543,0.436324668,20.977044998,1.292102992,1.076737495,38.413815932,-42.209685535,-0.640412827,57.076167846,27.520362228,-50.227531698,1.596571214,0.735945841,-0.429292066,-92.472224423,-0.705581105,-0.621931202,1.077477390,8.271335809,1.788524933,5.306891204,23.489287916,-51.282484005,8.721083260,3.637187369,-8.381495185,-97.873221711,57.076239415,97.924599963,57.076167846,97.924599963,0
