from_kf,to_kf,measurement_x,measurement_y,measurement_z,measurement_roll_deg,measurement_pitch_deg,measurement_yaw_deg,before_x,before_y,before_z,before_yaw_deg,after_x,after_y,after_z,after_yaw_deg,before_error_translation_m,before_error_rotation_deg,after_error_translation_m,after_error_rotation_deg
3,514,0.232873983,0.017959295,-0.010870680,0.710108705,0.944166017,-0.010374346,0.500656094,0.035042990,-1.883649030,-4.252588189,0.239674530,0.001871290,-0.033595678,-0.525129941,1.891905744,4.785345038,0.028661806,2.138371346
6,515,-0.825330205,0.195930178,-0.065270783,0.537969628,0.677454533,1.152843265,-0.595163701,-0.007981685,-1.901663348,-1.220082796,-0.839413364,0.127320200,-0.064161774,1.106940407,1.861961035,3.080111903,0.070049340,1.833024554
